player_name,team,league_country,position,age,market_value_raw,market_value_est,scraped_date
Arthur Augusto,Semen Padang FC,Indonesia,Kiper,0,"Rp3,91Mlyr.",391000000,2026-03-16
Rendy Oscario,Semen Padang FC,Indonesia,Kiper,27,"Rp1,30Mlyr.",130000000,2026-03-16
Teguh Amiruddin,Semen Padang FC,Indonesia,Kiper,0,"Rp869,08Jt.",86908000,2026-03-16
Farel Putra,Semen Padang FC,Indonesia,Kiper,0,"Rp173,82Jt.",17382000,2026-03-16
Iqbal Bachtiar,Semen Padang FC,Indonesia,Kiper,0,-,0,2026-03-16
Ângelo Meneses,Semen Padang FC,Indonesia,Bek-Tengah,24,"Rp4,35Mlyr.",435000000,2026-03-16
Jaime Giraldo,Semen Padang FC,Indonesia,Bek-Tengah,0,"Rp3,48Mlyr.",348000000,2026-03-16
Tin Martic,Semen Padang FC,Indonesia,Bek-Tengah,0,"Rp2,61Mlyr.",261000000,2026-03-16
Rui Rampa,Semen Padang FC,Indonesia,Bek-Tengah,23,"Rp1,30Mlyr.",130000000,2026-03-16
Ade Kristiano,Semen Padang FC,Indonesia,Bek-Tengah,0,-,0,2026-03-16
Asyraq Gufron,Semen Padang FC,Indonesia,Bek-Tengah,0,-,0,2026-03-16
Samuel Simanjuntak,Semen Padang FC,Indonesia,Bek-Kiri,0,"Rp1,30Mlyr.",130000000,2026-03-16
Ravy Tsouka,Semen Padang FC,Indonesia,Bek-Kanan,0,"Rp5,21Mlyr.",521000000,2026-03-16
Zidane Afandi,Semen Padang FC,Indonesia,Bek-Kanan,25,"Rp869,08Jt.",86908000,2026-03-16
Ghifari Azhhari,Semen Padang FC,Indonesia,Bek-Kanan,0,-,0,2026-03-16
Boubakary Diarra,Semen Padang FC,Indonesia,Gel. Bertahan,21,"Rp4,35Mlyr.",435000000,2026-03-16
Rosad Setiawan,Semen Padang FC,Indonesia,Gel. Bertahan,31,"Rp3,04Mlyr.",304000000,2026-03-16
Ripal Wahyudi,Semen Padang FC,Indonesia,Gel. Bertahan,0,"Rp2,17Mlyr.",217000000,2026-03-16
Ricki Ariansyah,Semen Padang FC,Indonesia,Gel. Bertahan,0,"Rp1,74Mlyr.",174000000,2026-03-16
Alhassan Wakaso,Semen Padang FC,Indonesia,Gel. Bertahan,30,"Rp869,08Jt.",86908000,2026-03-16
Dimas Saputra,Semen Padang FC,Indonesia,Gel. Bertahan,0,"Rp434,54Jt.",43454000,2026-03-16
Kazaki Nakagawa,Semen Padang FC,Indonesia,Gel. Serang,0,"Rp3,48Mlyr.",348000000,2026-03-16
Kianz Froese,Semen Padang FC,Indonesia,Gel. Serang,0,"Rp2,61Mlyr.",261000000,2026-03-16
Maicon,Semen Padang FC,Indonesia,Sayap Kiri,17,"Rp4,78Mlyr.",478000000,2026-03-16
Firman Juliansyah,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp2,17Mlyr.",217000000,2026-03-16
Armando Oropa,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp1,74Mlyr.",174000000,2026-03-16
Irsyad Maulana,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp1,30Mlyr.",130000000,2026-03-16
Kasim Botan,Semen Padang FC,Indonesia,Sayap Kanan,22,"Rp1,74Mlyr.",174000000,2026-03-16
Ferdiansyah,Semen Padang FC,Indonesia,Sayap Kanan,0,"Rp869,08Jt.",86908000,2026-03-16
Guillermo Fernández,Semen Padang FC,Indonesia,Depan-Tengah,0,"Rp5,21Mlyr.",521000000,2026-03-16
Diego Maurício,Semen Padang FC,Indonesia,Depan-Tengah,0,"Rp3,91Mlyr.",391000000,2026-03-16
Wahyu Agong,Semen Padang FC,Indonesia,Depan-Tengah,26,-,0,2026-03-16
Syaiful Asri,Semen Padang FC,Indonesia,Depan-Tengah,0,-,0,2026-03-16
Aditya Sentosa,Semen Padang FC,Indonesia,Penyerang,0,-,0,2026-03-16
Aqil Savik,Bhayangkara Presisi Lampung FC,Indonesia,Kiper,0,"Rp2,61Mlyr.",261000000,2026-03-16
Awan Setho,Bhayangkara Presisi Lampung FC,Indonesia,Kiper,0,"Rp2,61Mlyr.",261000000,2026-03-16
Rakasurya Handika,Bhayangkara Presisi Lampung FC,Indonesia,Kiper,29,"Rp869,08Jt.",86908000,2026-03-16
Sultan Jabbar,Bhayangkara Presisi Lampung FC,Indonesia,Kiper,0,-,0,2026-03-16
Muhammad Ferarri,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Tengah,41,"Rp4,78Mlyr.",478000000,2026-03-16
Slavko Damjanovic,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Tengah,0,"Rp3,91Mlyr.",391000000,2026-03-16
Nehar Sadiki,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Tengah,0,"Rp3,48Mlyr.",348000000,2026-03-16
Léo,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Tengah,0,"Rp2,61Mlyr.",261000000,2026-03-16
Rahmat Syawal,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Tengah,0,"Rp869,08Jt.",86908000,2026-03-16
Ferre Murari,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Tengah,26,"Rp173,82Jt.",17382000,2026-03-16
Firza Andika,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Kiri,0,"Rp4,35Mlyr.",435000000,2026-03-16
Alan Cardoso,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Kiri,0,"Rp3,91Mlyr.",391000000,2026-03-16
Frengky Missa,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Kiri,0,"Rp2,17Mlyr.",217000000,2026-03-16
Putu Gede,Bhayangkara Presisi Lampung FC,Indonesia,Bek-Kanan,0,"Rp3,48Mlyr.",348000000,2026-03-16
Moisés Gaúcho,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Bertahan,0,"Rp3,48Mlyr.",348000000,2026-03-16
Evandra Florasta,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Bertahan,25,-,0,2026-03-16
Christian Ilic,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Tengah,0,"Rp6,08Mlyr.",608000000,2026-03-16
TM Ichsan,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Tengah,19,"Rp1,30Mlyr.",130000000,2026-03-16
Ryo Matsumura,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Serang,0,"Rp5,21Mlyr.",521000000,2026-03-16
Wahyu Subo Seto,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Serang,23,"Rp1,74Mlyr.",174000000,2026-03-16
Da-bin Ji,Bhayangkara Presisi Lampung FC,Indonesia,Gel. Serang,0,-,0,2026-03-16
Sho Yamamoto,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kiri,0,"Rp4,35Mlyr.",435000000,2026-03-16
Sani Rizki,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kiri,20,"Rp2,61Mlyr.",261000000,2026-03-16
Ginanjar Wahyu,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kiri,0,"Rp869,08Jt.",86908000,2026-03-16
Fadly Alberto,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kiri,24,-,0,2026-03-16
Moussa Sidibé,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kanan,17,"Rp4,78Mlyr.",478000000,2026-03-16
Privat Mbarga,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kanan,37,"Rp4,35Mlyr.",435000000,2026-03-16
Ryan Kurnia,Bhayangkara Presisi Lampung FC,Indonesia,Sayap Kanan,0,"Rp3,04Mlyr.",304000000,2026-03-16
Fareed Sadat,Bhayangkara Presisi Lampung FC,Indonesia,Depan-Tengah,16,"Rp3,48Mlyr.",348000000,2026-03-16
Dendy Sulistyawan,Bhayangkara Presisi Lampung FC,Indonesia,Depan-Tengah,22,"Rp3,04Mlyr.",304000000,2026-03-16
Henri Doumbia,Bhayangkara Presisi Lampung FC,Indonesia,Depan-Tengah,0,"Rp1,74Mlyr.",174000000,2026-03-16
Ilija Spasojević,Bhayangkara Presisi Lampung FC,Indonesia,Depan-Tengah,0,"Rp1,30Mlyr.",130000000,2026-03-16
Saugix Baaqil,Bhayangkara Presisi Lampung FC,Indonesia,Depan-Tengah,0,-,0,2026-03-16
Cahya Supriadi,PSIM Yogyakarta,Indonesia,Kiper,19,"Rp3,91Mlyr.",391000000,2026-03-16
