player_name,team,league_country,position,age,market_value_raw,market_value_est,scraped_date
Ernando Ari,Persebaya Surabaya,Indonesia,Kiper,21,"Rp4,78Mlyr.",478000000,2026-07-13
Reza Arya,Persebaya Surabaya,Indonesia,Kiper,0,"Rp2,61Mlyr.",261000000,2026-07-13
Adre Arido,Persebaya Surabaya,Indonesia,Kiper,0,-,0,2026-07-13
Muhammad Ilham,Persebaya Surabaya,Indonesia,Kiper,39,-,0,2026-07-13
Yuran Fernandes,Persebaya Surabaya,Indonesia,Bek-Tengah,0,"Rp6,52Mlyr.",652000000,2026-07-13
Syahrul Lasinari,Persebaya Surabaya,Indonesia,Bek-Tengah,0,"Rp3,04Mlyr.",304000000,2026-07-13
Risto Mitrevski,Persebaya Surabaya,Indonesia,Bek-Tengah,0,"Rp1,74Mlyr.",174000000,2026-07-13
Wálber,Persebaya Surabaya,Indonesia,Bek-Tengah,0,"Rp1,30Mlyr.",130000000,2026-07-13
Randy May,Persebaya Surabaya,Indonesia,Bek-Tengah,18,"Rp434,54Jt.",43454000,2026-07-13
Sheva Kardanu,Persebaya Surabaya,Indonesia,Bek-Tengah,0,-,0,2026-07-13
Jefferson,Persebaya Surabaya,Indonesia,Bek-Kiri,17,"Rp4,78Mlyr.",478000000,2026-07-13
Yusuf Meilana,Persebaya Surabaya,Indonesia,Bek-Kiri,0,"Rp3,04Mlyr.",304000000,2026-07-13
Mikael Tata,Persebaya Surabaya,Indonesia,Bek-Kiri,0,"Rp2,61Mlyr.",261000000,2026-07-13
Ahmad Mujtaba,Persebaya Surabaya,Indonesia,Bek-Kiri,0,-,0,2026-07-13
Arief Catur,Persebaya Surabaya,Indonesia,Bek-Kanan,0,"Rp3,91Mlyr.",391000000,2026-07-13
Koko Ari,Persebaya Surabaya,Indonesia,Bek-Kanan,33,"Rp2,61Mlyr.",261000000,2026-07-13
Rachmat Irianto,Persebaya Surabaya,Indonesia,Gel. Bertahan,0,"Rp4,35Mlyr.",435000000,2026-07-13
Gledson,Persebaya Surabaya,Indonesia,Gel. Bertahan,0,"Rp1,74Mlyr.",174000000,2026-07-13
Sadida Putra,Persebaya Surabaya,Indonesia,Gel. Bertahan,0,"Rp1,30Mlyr.",130000000,2026-07-13
Ramalho,Persebaya Surabaya,Indonesia,Gel. Tengah,0,"Rp6,95Mlyr.",695000000,2026-07-13
Toni Firmansyah,Persebaya Surabaya,Indonesia,Gel. Tengah,0,"Rp2,61Mlyr.",261000000,2026-07-13
Ichsas Baihaqi,Persebaya Surabaya,Indonesia,Gel. Tengah,0,"Rp869,08Jt.",86908000,2026-07-13
Francisco Rivera,Persebaya Surabaya,Indonesia,Gel. Serang,0,"Rp6,95Mlyr.",695000000,2026-07-13
Miguel Pereira,Persebaya Surabaya,Indonesia,Sayap Kanan,0,"Rp12,17Mlyr.",1217000000,2026-07-13
Malik Risaldi,Persebaya Surabaya,Indonesia,Sayap Kanan,0,"Rp4,78Mlyr.",478000000,2026-07-13
Dicky Kurniawan,Persebaya Surabaya,Indonesia,Sayap Kanan,0,"Rp1,74Mlyr.",174000000,2026-07-13
Alfan Suaib,Persebaya Surabaya,Indonesia,Sayap Kanan,0,"Rp869,08Jt.",86908000,2026-07-13
Dimas Wicaksono,Persebaya Surabaya,Indonesia,Sayap Kanan,26,"Rp869,08Jt.",86908000,2026-07-13
Alex Martins,Persebaya Surabaya,Indonesia,Depan-Tengah,0,"Rp5,65Mlyr.",565000000,2026-07-13
Yann Mabella,Persebaya Surabaya,Indonesia,Depan-Tengah,0,"Rp5,21Mlyr.",521000000,2026-07-13
Ramadhan Sananta,Persebaya Surabaya,Indonesia,Depan-Tengah,0,"Rp4,78Mlyr.",478000000,2026-07-13
Mihailo Perovic,Persebaya Surabaya,Indonesia,Depan-Tengah,0,"Rp3,91Mlyr.",391000000,2026-07-13
Ricky Pratama,Persebaya Surabaya,Indonesia,Depan-Tengah,0,"Rp2,17Mlyr.",217000000,2026-07-13
Dimas Adi,Persebaya Surabaya,Indonesia,Depan-Tengah,0,-,0,2026-07-13
Cyrus Margono,Persija Jakarta,Indonesia,Kiper,0,"Rp3,04Mlyr.",304000000,2026-07-13
Aqil Savik,Persija Jakarta,Indonesia,Kiper,0,"Rp2,61Mlyr.",261000000,2026-07-13
Hafizh Rizkianur,Persija Jakarta,Indonesia,Kiper,22,-,0,2026-07-13
Irham Nadzhofa,Persija Jakarta,Indonesia,Kiper,27,-,0,2026-07-13
Rizky Ridho,Persija Jakarta,Indonesia,Bek-Tengah,0,"Rp11,30Mlyr.",1130000000,2026-07-13
Jordi Amat,Persija Jakarta,Indonesia,Bek-Tengah,21,"Rp9,56Mlyr.",956000000,2026-07-13
Denis Kolinger,Persija Jakarta,Indonesia,Bek-Tengah,0,"Rp7,82Mlyr.",782000000,2026-07-13
Dia Syayid,Persija Jakarta,Indonesia,Bek-Tengah,32,"Rp869,08Jt.",86908000,2026-07-13
Baihaqi Rifai,Persija Jakarta,Indonesia,Bek-Tengah,29,-,0,2026-07-13
Shayne Pattynama,Persija Jakarta,Indonesia,Bek-Kiri,25,"Rp6,08Mlyr.",608000000,2026-07-13
Dony Tri Pamungkas,Persija Jakarta,Indonesia,Bek-Kiri,0,"Rp5,21Mlyr.",521000000,2026-07-13
Pratama Arhan,Persija Jakarta,Indonesia,Bek-Kiri,0,"Rp4,35Mlyr.",435000000,2026-07-13
Fajar Fathurrahman,Persija Jakarta,Indonesia,Bek-Kanan,0,"Rp5,65Mlyr.",565000000,2026-07-13
Kerim Memija,Persija Jakarta,Indonesia,Bek-Kanan,0,"Rp5,21Mlyr.",521000000,2026-07-13
Rio Fahmi,Persija Jakarta,Indonesia,Bek-Kanan,0,"Rp5,21Mlyr.",521000000,2026-07-13
Fafa Sheva,Persija Jakarta,Indonesia,Bek-Kanan,0,"Rp869,08Jt.",86908000,2026-07-13
Fábio Silva,Persija Jakarta,Indonesia,Gel. Bertahan,0,"Rp5,21Mlyr.",521000000,2026-07-13
Sousa,Persija Jakarta,Indonesia,Gel. Bertahan,0,"Rp4,35Mlyr.",435000000,2026-07-13
Aditya Warman,Persija Jakarta,Indonesia,Gel. Bertahan,36,"Rp1,30Mlyr.",130000000,2026-07-13
